round,accuracy,macro_f1,weighted_f1,fpr
1,0.890279,0.365953,0.901926,0.01242
2,0.965043,0.551665,0.959584,0.007584
3,0.963297,0.53814,0.957622,0.006428
4,0.975534,0.627079,0.970545,0.005829
5,0.978379,0.585709,0.973045,0.005396
6,0.979677,0.644581,0.974365,0.00514
7,0.960071,0.511009,0.943269,0.011911
8,0.977152,0.631665,0.971332,0.005617
9,0.976889,0.63918,0.971087,0.005808
10,0.271462,0.451232,0.327741,0.049229
11,0.979557,0.651911,0.974555,0.005119
12,0.97763,0.54976,0.969612,0.004991
